"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"参数化验证多组异常凭据的登录失败错误消息","660","ATC-05: 异常登录数据驱动验证 — ATC-05-001","testcases","Wed Jun 24 16:04:04 UTC 2026","passed","Wed Jun 24 16:04:05 UTC 2026","","test_login","",""
"验证 4 种排序方式 (az / za / lohi / hilo) 下 UI 展示顺序与 Python 内存排序结果一致。价格需从 ""$29.99"" 转为 float 再做数值比对。","711","ATC-02: 商品列表多维度排序验证 — {sort_by}-{direction}-True","testcases","Wed Jun 24 16:04:02 UTC 2026","passed","Wed Jun 24 16:04:02 UTC 2026","","test_inventory","",""
"依次添加 3 件商品到购物车，每添加一件即验证购物车 Badge 数字递增同步。","11330","ATC-03: 多商品加购与购物车 Badge 数字同步验证","testcases","Wed Jun 24 16:03:20 UTC 2026","failed","Wed Jun 24 16:03:31 UTC 2026","","test_checkout","",""
"参数化验证多组异常凭据的登录失败错误消息","574","ATC-05: 异常登录数据驱动验证 — ATC-05-004","testcases","Wed Jun 24 16:04:07 UTC 2026","passed","Wed Jun 24 16:04:07 UTC 2026","","test_login","",""
"验证 standard_user 凭据登录后成功跳转到 /inventory.html 商品列表页。","622","ATC-01: 标准用户登录成功验证","testcases","Wed Jun 24 16:04:03 UTC 2026","passed","Wed Jun 24 16:04:03 UTC 2026","","test_login","",""
"参数化验证多组异常凭据的登录失败错误消息","556","ATC-05: 异常登录数据驱动验证 — ATC-05-002","testcases","Wed Jun 24 16:04:05 UTC 2026","passed","Wed Jun 24 16:04:05 UTC 2026","","test_login","",""
"验证 4 种排序方式 (az / za / lohi / hilo) 下 UI 展示顺序与 Python 内存排序结果一致。价格需从 ""$29.99"" 转为 float 再做数值比对。","677","ATC-02: 商品列表多维度排序验证 — {sort_by}-{direction}-False","testcases","Wed Jun 24 16:03:58 UTC 2026","passed","Wed Jun 24 16:03:59 UTC 2026","","test_inventory","",""
"参数化验证多组异常凭据的登录失败错误消息","568","ATC-05: 异常登录数据驱动验证 — ATC-05-003","testcases","Wed Jun 24 16:04:06 UTC 2026","passed","Wed Jun 24 16:04:06 UTC 2026","","test_login","",""
"验证 4 种排序方式 (az / za / lohi / hilo) 下 UI 展示顺序与 Python 内存排序结果一致。价格需从 ""$29.99"" 转为 float 再做数值比对。","718","ATC-02: 商品列表多维度排序验证 — {sort_by}-{direction}-False","testcases","Wed Jun 24 16:04:01 UTC 2026","passed","Wed Jun 24 16:04:01 UTC 2026","","test_inventory","",""
"端到端验证从商品加购到下单成功的完整交易链路：Inventory(加购) → Cart(确认) → Checkout Step1(填信息) → Step2(概览确认) → Complete(成功页)。","11367","ATC-04: 完整结账流程 — Inventory → Cart → Checkout → Complete","testcases","Wed Jun 24 16:03:47 UTC 2026","failed","Wed Jun 24 16:03:58 UTC 2026","","test_checkout","",""
"验证 4 种排序方式 (az / za / lohi / hilo) 下 UI 展示顺序与 Python 内存排序结果一致。价格需从 ""$29.99"" 转为 float 再做数值比对。","712","ATC-02: 商品列表多维度排序验证 — {sort_by}-{direction}-True","testcases","Wed Jun 24 16:04:00 UTC 2026","passed","Wed Jun 24 16:04:00 UTC 2026","","test_inventory","",""
